id,year,rank,school,games,wins,losses,win_percentage,conference_wins,conference_losses,home_wins,home_losses,away_wins,away_losses,offensive_rating,defensive_rating,net_rating,field_goals,field_goal_attempts,field_goal_percentage,3_pointers,3_pointer_attempts,3_pointer_percentage,effective_field_goal_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,opponent_points,simple_rating
32,2018,2,Texas Tech,38,31,7,0.816,14,4,17,1,6,3,106.9,87.4,19.5,26.1,55.5,0.469,7.3,20,0.365,0.535,13.4,18.3,0.732,8.3,34.1,13.6,7.3,4.9,12,17.4,72.8,59.5,22.79
33,2018,3,Kansas,36,26,10,0.722,12,6,16,0,3,8,106.5,98.7,7.8,27.5,59.1,0.465,7.2,20.6,0.35,0.526,13.5,19.2,0.705,10.4,38.2,13.3,6.8,3.9,13.1,16.9,75.7,70.1,18.35
34,2018,4,Baylor,34,20,14,0.588,10,8,13,5,5,6,107.6,101.4,6.2,25.6,57.8,0.442,8.1,23.6,0.341,0.512,12.6,18.7,0.677,13.2,37.7,13.9,6.1,4.7,13.1,18.7,71.8,67.7,13.38
35,2018,5,Iowa State,35,23,12,0.657,9,9,12,4,5,6,112.7,99.9,12.9,27.8,58.5,0.476,8.4,23.2,0.363,0.548,12.9,17.6,0.732,9.3,35.1,15.1,7.1,4.6,10.8,14.8,76.9,68.1,18.07
36,2018,6,Texas,37,21,16,0.568,8,10,15,6,2,8,105.9,99,6.8,25.1,58,0.433,8.8,25.2,0.348,0.509,12,17.2,0.699,9.7,34.2,13.1,6.1,4.1,10.8,16.9,71,66.4,16.06
37,2018,7,Oklahoma,34,20,14,0.588,7,11,11,4,5,7,102.4,98,4.4,26,58.1,0.447,6.6,19.2,0.346,0.504,12.7,18.2,0.697,9,37.1,12.6,6,3,11.8,15.5,71.3,68.2,15.3
38,2018,8,TCU,37,23,14,0.622,7,11,15,5,3,7,104.9,98.9,6,26.8,58.6,0.457,7.6,22,0.346,0.521,12.7,18.6,0.682,10.7,36.4,16.2,6.9,4.4,13.5,15.8,73.8,69.6,13.81
39,2018,9,Oklahoma State,32,12,20,0.375,5,13,8,7,2,10,101,106.1,-5.1,23.8,56.1,0.423,8.8,23.5,0.372,0.501,11.8,17.2,0.689,9.2,34.2,13.2,5.7,4.3,12.1,16.1,68.1,71.5,8.09
40,2018,10,West Virginia,36,15,21,0.417,4,14,11,7,0,10,101.5,106.5,-5,25,60.6,0.413,7.5,23.7,0.316,0.475,16.2,23.6,0.688,14.4,39.6,13.6,6.2,3.5,15.5,19.6,73.8,77.4,6.94
41,2017,1,Kansas,39,31,8,0.795,13,5,14,3,8,3,115.5,102,13.5,29.9,60.7,0.492,10,25,0.401,0.575,11.6,16.4,0.708,9.8,35.6,16.6,6.5,4.1,11.7,15.3,81.4,71.9,21.39
42,2017,2,Texas Tech,37,27,10,0.73,11,7,17,1,4,6,108.4,94.2,14.2,26.1,56.6,0.46,6.8,19,0.359,0.52,15.6,22.2,0.704,11,36,14.3,7.1,4.3,12.3,18.1,74.6,64.8,19.38
43,2017,3,West Virginia,37,26,11,0.703,11,7,14,3,5,5,113.2,98.3,14.9,28,64.2,0.436,8.7,24.6,0.353,0.504,15.4,20.1,0.766,14.1,37.9,15.2,8.1,5.2,11.4,21.6,80.1,69.6,19.89
44,2017,4,Kansas State,37,25,12,0.676,10,8,14,3,6,5,106.4,100.3,6.2,25.3,54.7,0.463,6.9,20.1,0.341,0.525,13.6,18.5,0.734,8.2,30.7,13.8,7.9,3,11.4,18.5,71.1,67,12.85
